AGGH%HIR%Honiara%Honiara Intl%Solomon Islands%
AGGM%MUA%Munda New Georgia Island%Munda%Solomon Islands%
ANAU%INU%Nauru Island%Nauru Intl Airport%Nauru%
AYGA%GKA%Goroka%Goroka%Papua New Guinea%
AYLA%LAE%Lae%Nadzab%Papua New Guinea%
AYMD%MAG%Madang%Madang%Papua New Guinea%
AYMH%HGU%Mount Hagen%Mount Hagen%Papua New Guinea%
AYPY%POM%Port Moresby%Port Moresby Jacksons Intl%Papua New Guinea%
AYRB%RAB%Rabaul%Rabaul%Papua New Guinea%
AYWK%WWK%Wewak%Wewak Intl%Papua New Guinea%
BGAM%AGM%Ammassalik%Angmagssalik Airport%Greenland (Denmark)%
BGBW%UAK%Narssarssuaq%Narssarssuaq Airport%Greenland (Denmark)%
BGCH%JCH%Qasigiannguit (Christiansh%Christianshab Airport%Greenland (Denmark)%
BGCO%CNP%Nerlerit Inaat%Constable Pynt Airport%Greenland (Denmark)%
BGDU%DUN%Dundas%Dundas Airport%Greenland (Denmark)%
BGEM%JEG%Aasiaat (Egedesminde)%Auisiait Airport%Greenland (Denmark)%
BGFH%JFR%Paamiut (Frederikshab)%Frederikshab Airport%Greenland (Denmark)%
BGGH%GOH%Nuuk (Godthab)%Nuuk Airport%Greenland (Denmark)%
BGGN%JGO%Qeqertarsuaq (Godhavn)%Godhavn Airport%Greenland (Denmark)%
BGHB%JHS%Sisimiut (Holsteinsborg)%Holsteinsborg Airport%Greenland (Denmark)%
BGJN%JAV%Ilulissat (Jakobshavn)%Jakobshavn Airport%Greenland (Denmark)%
BGKA%QPW%Kangaatsiaq%Kangaatsiaq Airport%Greenland (Denmark)%
BGKK%KUS%Kulusuk%Kulusuk Airport%Greenland (Denmark)%
BGNN%JNN%Nanortalik%Nanortalik Airport%Greenland (Denmark)%
BGNS%JNS%Narsaq%Narssaq Airport%Greenland (Denmark)%
BGQA%NAQ%Qaanaaq (Thule)%Qaanaaq Airport%Greenland (Denmark)%
BGSC%OBY%Ittoqqortoormiit (Scoresbysund)%Scoresbysund Airport%Greenland (Denmark)%
BGSF%SFJ%Kangerlussuaq (Sondre Stromfjord)%Kangerlussuaq Airport%Greenland (Denmark)%
BGTL%THU%Qaanaaq (Thule)%Thule Air Base%Greenland (Denmark)%
BGUM%UMD%Uummannaq%Uummannaq Airport%Greenland (Denmark)%
BGUP%JUV%Upernavik%Upernavik Airport%Greenland (Denmark)%
BIAR%AEY%Akureyri%Akureyri Airport%Iceland%
BIBL%BLO%Blonduos%Blonduos Airport%Iceland%
BIEG%EGS%Egilsstaair%Egilsstaoir Airport%Iceland%
BIHN%HFN%Hofn%Hornafjorour Airport%Iceland%
BIIS%IFJ%Isafj%Isafjorour Airport%Iceland%
BIKF%KEF%Keflavik%Keflavik Intl Airport%Iceland%
BIKR%SAK%Sauoarkrokur%Alexander Airport%Iceland%
BINF%NOR%Norofjorour%Norofjorour Airport%Iceland%
BIPA%PFJ%Patreksfjorour%Patreksfjorour Airport%Iceland%
BIRG%RFN%Raufarhofn%Raufarhofn Airport%Iceland%
BIRK%RKV%Reykjavik%Reykjavik Airport%Iceland%
BISI%SIJ%Siglufjorour%Siglufjordur Airport%Iceland%
BIST%SYK%Stykkisholmur%Stykkisholmur Airport%Iceland%
BITE%TEY%Pingeyri%Pingeyri Airport%Iceland%
BITH%THO%Sauoanes%Sauoanes Airport%Iceland%
BIVM%VEY%Vestmannaeyjar%Vestmannaeyjar Airport%Iceland%
CAB5%YBM%Bronson Creek, British Columbia%Bronson Creek%Canada%
CAD5%YMB%Merritt, British Columbia%Merritt%Canada%
CAH3%YCA%Courtenay, British Columbia%Courtenay%Canada%
CAJ4%YAA%Anahim Lake, British Columbia%Anahim Lake%Canada%
CAM3%DUQ%Duncan, British Columbia%Duncan%Canada%
CAP3%YHS%Sechelt-Gibsons, British Columbia%Sechelt-Gibsons%Canada%
CAT5%YMP%Port Mc Neill, British Columbia%Port Mc Neill%Canada%
CBM5%YTX%Telegraph Creek, British Columbia%Telegraph Creek%Canada%
CBX5%TNS%Tungsten, Northwest Territories%Cantung%Canada%
CBX7%TUX%Tumbler Ridge, British Columbia%Tumbler Ridge%Canada%
CCA6%YWM%Williams Harbour, Newfoundland%Williams Harbour%Canada%
CCB4%YDI%Davis Inlet, Newfoundland%Davis Inlet%Canada%
CCD4%YSO%Postville, Newfoundland%Postville%Canada%
CCE4%YBI%Black Tickle, Newfoundland%Black Tickle%Canada%
CCH4%YHG%Charlottetown, Newfoundland%Charlottetown%Canada%
CCK4%YFX%St Lewis, Newfoundland%Fox Harbour%Canada%
CCP4%YHA%Port Hope Simpson, Newfoundland%Port Hope Simpson%Canada%
CCZ2%YRG%Rigolet, Newfoundland%Rigolet%Canada%
CEB3%YCK%Colville Lake, Northwest Territories%Colville Lake%Canada%
CEB5%ZFW%Fairview, Alberta%Fairview%Canada%
CEC4%YJA%Hinton, Alberta%Jasper-Hinton%Canada%
CEM3%YLE%Lac La Martre, Northwest Territories%Wha Ti%Canada%
CEQ5%YGC%Grande Cache, Alberta%Grande Cache%Canada%
CER3%YDC%Drayton Valley, Alberta%Industrial%Canada%
CEV4%YRA%Rae Lakes, Northwest Territories%Rae Lakes%Canada%
CFC4%XMP%Macmillan Pass, Yukon Territory%Macmillan Pass%Canada%
CFJ2%YFJ%Wekweti, Northwest Territories%Wekweti%Canada%
CJL2%YDJ%Hatchet Lake, Saskatchewan%Hatchet Lake%Canada%
CJL8%YDU%Kasba Lake, Northwest Territories%Kasba Lake%Canada%
CJS3%XCL%Cluff Lake, Saskatchewan%Cluff Lake%Canada%
CJV7%SUR%Summer Beaver, Ontario%Summer Beaver%Canada%
CJY3%YTT%Tisdale, Saskatchewan%Tisdale%Canada%
CKB6%YAX%Angling Lake, Ontario%Wapakeka%Canada%
CKL3%WNN%Wunnumin Lake, Ontario%Wunnumin Lake%Canada%
CNE3%XBE%Bearskin Lake, Ontario%Bearskin Lake%Canada%
CNK4%YPD%Parry Sound, Ontario%Georgian Bay%Canada%
CNL3%XBR%Brockville, Ontario%Brockville%Canada%
CNM5%KIF%Kingfisher Lake, Ontario%Kingfisher Lake%Canada%
CNS7%YKD%Kincardine, Ontario%Kincardine%Canada%
CNT3%YOG%Ogoki Post, Ontario%Ogoki Post%Canada%
CNZ3%XCM%Chatham, Ontario%Chatham%Canada%
CPV8%KEW%Keewaywin, Ontario%Keewaywin%Canada%
CSH4%YLS%Lebel-Sur-Quevillon, Quebec%Lebel-Sur-Quevillon%Canada%
CSR8%SSQ%La Sarre, Quebec%La Sarre%Canada%
CYAC%YAC%Cat Lake, Ontario%Cat Lake%Canada%
CYAG%YAG%Ft Frances, Ontario%Ft Frances Mun%Canada%
CYAL%YAL%Alert Bay, British Columbia%Alert Bay%Canada%
CYAM%YAM%Sault Ste Marie, Ontario%Sault Ste Marie%Canada%
CYAQ%XKS%Kasabonika, Ontario%Kasabonika%Canada%
CYAS%YKG%Kangirsuk, Quebec%Kangirsuk%Canada%
CYAT%YAT%Attawapiskat, Ontario%Attawapiskat%Canada%
